Name,Symbol,Lot_Size,Strike_Price,Tick_Size,Last_Close
AARTI INDUSTRIES LTD,AARTIIND,850,0,,0
ABB INDIA LIMITED,ABB,250,,,0
ABBOTT INDIA LIMITED,ABBOTINDIA,40,,,0
ACC LIMITED,ACC,250,2260,20,0
ADANI ENTERPRISES LIMITED,ADANIENT,500,,,0
ADANI PORTS & SEZ LTD,ADANIPORTS,1250,,,0
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL,5400,,,0
ADITYA BIRLA FASHION & RETAIL LTD,ABFRL,2600,330,5,0
ALKEM LABORATORIES LTD.,ALKEM,200,,,0
AMARA RAJA BATTERIES LTD.,AMARAJABAT,1000,,,0
AMBUJA CEMENTS LTD,AMBUJACEM,1800,,,0
APOLLO HOSPITALS enterprise LTD,APOLLOHOSP,125,,,0
APOLLO TYRES LTD,APOLLOTYRE,3500,,,0
ASHOK LEYLAND LTD,ASHOKLEY,5000,,,0
ASIAN PAINTS LIMITED,ASIANPAINT,200,,,0
ASTRAL LIMITED,ASTRAL,275,,,0
ATUL LTD,ATUL,75,,,0
AU SMALL FINANCE BANK LTD,AUBANK,1000,,,0
AUROBINDO PHARMA LTD,AUROPHARMA,1000,,,0
AXIS BANK LIMITED,AXISBANK,1200,,,0
BAJAJ AUTO LIMITED,BAJAJ-AUTO,250,,,0
BAJAJ FINANCE LIMITED,BAJFINANCE,125,,,0
BAJAJ FINSERV LTD.,BAJAJFINSV,50,,,0
BALKRISHNA IND. LTD,BALKRISIND,300,,,0
BALRAMPUR CHINI MILLS LTD,BALRAMCHIN,1600,,,0
BANDHAN BANK LIMITED,BANDHANBNK,1800,,,0
BANK OF BARODA,BANKBARODA,5850,,,0
BATA INDIA LTD,BATAINDIA,275,,,0
BERGER PAINTS INDIA LTD,BERGEPAINT,1100,,,0
BHARAT ELECTRONICS LTD,BEL,3800,,,0
BHARAT FORGE LTD,BHARATFORG,1000,,,0
BHARAT PETROLEUM CORP LT,BPCL,1800,,,0
BHARTI AIRTEL LIMITED,BHARTIARTL,950,,,0
BHEL,BHEL,10500,,,0
BIOCON LIMITED.,BIOCON,2300,,,0
BIRLASOFT LIMITED,BSOFT,1300,,,0
BOSCH LIMITED,BOSCHLTD,50,,,0
BRITANNIA INDUSTRIES LTD,BRITANNIA,200,,,0
CAN FIN HOMES LTD,CANFINHOME,975,,,0
CANARA BANK,CANBK,2700,,,0
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,1500,,,0
CHOLAMANDALAM investment & finance COMPANY LTD,CHOLAFIN,1250,,,0
CIPLA LTD,CIPLA,650,,,0
CITY UNION BANK LTD,CUB,5000,,,0
COAL INDIA LTD,COALINDIA,4200,,,0
COFORGE LIMITED,COFORGE,150,,,0
COLGATE PALMOLIVE LTD.,COLPAL,350,,,0
CONTAINER CORP OF IND LTD,CONCOR,1000,,,0
COROMANDEL INTERNTL. LTD,COROMANDEL,700,,,0
CROMPT GREA CON ELEC LTD,CROMPTON,1500,,,0
CUMMINS INDIA LTD,CUMMINSIND,600,,,0
DABUR INDIA LTD,DABUR,1250,,,0
DALMIA BHARAT LIMITED,DALBHARAT,500,,,0
DEEPAK NITRITE LTD,DEEPAKNTR,250,,,0
DELTA CORP LIMITED,DELTACORP,2300,,,0
DIVI S LABORATORIES LTD,DIVISLAB,150,,,0
DIXON technologies (INDIA) LTD,DIXON,125,,,0
DLF LIMITED,DLF,1650,,,0
DR. LAL PATH LABS LTD.,LALPATHLAB,250,,,0
DR. REDDY S LABORATORIES,DRREDDY,125,,,0
EICHER MOTORS LTD,EICHERMOT,350,,,0
ESCORTS INDIA LTD,ESCORTS,550,,,0
EXIDE INDUSTRIES LTD,EXIDEIND,3600,,,0
FEDERAL BANK LTD,FEDERALBNK,10000,,,0
FIRSTSOURCE SOLU. LTD.,FSL,5200,,,0
GAIL (INDIA) LTD,GAIL,6100,,,0
GLENMARK PHARMACEUTICALS,GLENMARK,1150,,,0
GMR INFRASTRUCTURE LTD.,GMRINFRA,22500,,,0
GODREJ CONSUMER PRODUCTS,GODREJCP,1000,,,0
GODREJ PROPERTIES LTD,GODREJPROP,325,,,0
GRANULES INDIA LIMITED,GRANULES,2000,,,0
GRASIM INDUSTRIES LTD,GRASIM,475,,,0
gujarat-narmada-valley-fertilizers-chemicals-ltd,GNFC,1300,,,0
GUJARAT GAS LIMITED,GUJGASLTD,1250,,,0
GUJARAT STATE PETRO LTD,GSPL,2500,,,0
HAVELLS INDIA LIMITED,HAVELLS,500,,,0
HCL TECHNOLOGIES LTD,HCLTECH,700,,,0
HDFC BANK LTD,HDFCBANK,550,,,0
HDFC LIFE insurance CO LTD,HDFCLIFE,1100,,,0
HDFC LTD,HDFC,300,,,0
HERO MOTOCORP LIMITED,HEROMOTOCO,300,,,0
HINDALCO INDUSTRIES LTD,HINDALCO,1075,,,0
HINDUSTAN AERONAUTICS LTD,HAL,475,,,0
HINDUSTAN COPPER LTD,HINDCOPPER,4300,,,0
HINDUSTAN PETROLEUM CORP,HINDPETRO,2700,,,0
HINDUSTAN UNILEVER LTD.,HINDUNILVR,300,,,0
HONEYWELL AUTOMATION IND,HONAUT,15,,,0
ICICI BANK LTD.,ICICIBANK,1375,,,0
