AARIND,AARTIIND,AARTI INDUSTRIES LTD,INE769A01020
ABB,ABB INDIA LIMITED
ABBIND,ABBOTT INDIA LIMITED
ACC,ACC LIMITED
ADAENT,ADANI ENTERPRISES LIMITED
ADAPOR,ADANI PORT AND SPECIAL ECONO
ADICAP,ADITYA BIRLA CAPITAL LIMITED
ADIFAS,ADITYA BIRLA FASHION & RTL LTD
ALKLAB,ALKEM LABORATORIES LIMITED
AMBCE,AMBUJA CEMENTS LTD
APOHOS,APOLLO HOSPITALS ENTERPRISES L
APOTYR,APOLLO TYRES LTD
ASHLEY,ASHOK LEYLAND LTD
ASIPAI,ASIAN PAINTS INDIA LTD
ASTPOL,ASTRAL LIMITED
ATUL,ATUL LIMITED
AURPHA,AUROPHARMA,AUROBINDO PHARMA LTD
AUSMA,AU SMALL FINANCE BANK LTD
AXIBAN,AXIS BANK LIMITED
BAAUTO,BAJAJ AUTO LIMITED
BAFINS,BAJAJ FINSERV LIMITED
BAJFI,BAJAJ FINANCE LIMITED
BALCHI,BALRAMPUR CHINI MILLS LTD
BALIND,BALKRISHNA INDUSTRIES LTD
BANBAN,BANDHAN BANK LIMITED
BANBAR,BANK OF BARODA
BATIND,BATA INDIA LIMITED
BERPAI,BERGER PAINTS INDIA LTD
BHAAIR,BHARTI AIRTEL LTD
BHAELE,BHARAT ELECTRONICS LTD
BHAFOR,BHARAT FORGE LIMITED
BHAINF,INDUS TOWERS LIMITED
BHAPET,BPCL,BHARAT PETROLEUM CORPN LTD
BHEL,BHARAT HEAVY ELECTRICALS LTD
BIOCON,BIOCON LIMITED
BOSLIM,BOSCHLTD,BOSCH LIMITED
BRIIND,BRITANNIA INDUSTRIES LTD
CADHEA,ZYDUS LIFESCIENCES LIMITED
CANBAN,CANARA BANK
CANHOM,CAN FIN HOMES LTD
CHAFER,CHAMBAL FERTILISERS & CHEMICAL
CHOINV,CHOLAMANDALAM INVESTMENT AND F
CIPLA,CIPLA LIMITED
CITUNI,CITY UNION BANK LTD
CNXBAN,NIFTY BANK
COALIN,COAL INDIA LIMITED
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD
CONCOR,CONTAINER CORPORATION OF INDIA
CORINT,COROMANDEL INTERNATIONAL LIMIT
CROGR,CROMPTON GREAVES CONS ELEC LTD
CUMIND,CUMMINS INDIA LTD
DABIND,DABUR INDIA LTD
DEENIT,DEEPAK NITRITE LIMITED
DELCOR,DELTA CORP LIMITED
DIVLAB,DIVIS LABORATORIES LIMITED
DIXTEC,DIXON TECHNOLOGIES INDIA LTD
DLFLIM,DLF,DLF LIMITED
DRLAL,DR. LAL PATHLABS LIMITED
DRREDD,DR REDDYS LABORATORIES LTD
EICMOT,EICHER MOTORS LTD
ESCORT,ESCORTS KUBOTA LIMITED
EXIIND,EXIDE INDUSTRIES LTD
FEDBAN,FEDERAL BANK LTD
GAIL,GAIL (INDIA) LIMITED
GLEPHA,GLENMARK PHARMACEUTICALS LTD
GMRINF,GMR AIRPORTS INFRASTRUCTURE
GNFC,GUJARAT NARMADA FER & CHEM LTD
GODCON,GODREJ CONSUMER PRODUCTS LTD
GODPRO,GODREJ PROPERTIES LIMITED
GRANUL,GRANULES INDIA LIMITED
GRASIM,GRASIM INDUSTRIES LIMITED
GUJGA,GUJARAT GAS LIMITED
HAVIND,HAVELLS INDIA LIMITED
HCLTEC,HCL TECHNOLOGIES LIMITED
HDFAMC,HDFC ASSET MANAGEMENT CO LTD
HDFBAN,HDFC BANK LIMITED
HDFSTA,HDFC LIFE INSURANCE COM LTD
HERHON,HERO MOTOCORP LIMITED
HINAER,HINDUSTAN AERONAUTICS LIMITED
HINCOP,HINDUSTAN COPPER LIMITED
HINDAL,HINDALCO INDUSTRIES LIMITED
HINLEV,HINDUSTAN UNILEVER LIMITED
HINPET,HINDUSTAN PETROLEUM CORP
ICIBAN,ICICI BANK LIMITED
ICILOM,ICICI LOMBARD GEN INSURANCE CO
ICIPRU,ICICI PRUDENTIAL LIFE INS CO
IDECEL,VODAFONE IDEA LIMITED
IDFBAN,IDFC FIRST BANK LIMITED
IDFC,IDFC LIMITED
INDBA,INDUSIND BANK LIMITED
INDCEM,INDIA CEMENTS LTD
INDEN,INDIAN ENERGY EXCHANGE LIMITED
INDGAS,INDRAPRASHTHA GAS LTD
INDHOT,INDIAN HOTELS CO LTD
INDMAR,INDIAMART INTERMESH LIMITED
INDOIL,INDIAN OIL CORPORATION LIMITED
INDRAI,INDIAN RAIL CAT AND TOUR IRCTC
INFEDG,INFO EDGE (INDIA) LIMITED
INFTEC,INFOSYS LTD
INTAVI,INTERGLOBE AVIATION LIMITED
IPCLAB,IPCA LABORATORIES LTD
ITC,ITC LIMITED
JINSP,JINDAL STEEL & POWER LIMITED
JKCEME,JK CEMENT LIMITED
JSWSTE,JSW STEEL LIMITED
JUBFOO,JUBILANT FOODWORKS LIMITED
KOTMAH,KOTAK MAHINDRA BANK LTD
KPITEC,BIRLASOFT LIMITED
LARTOU,LARSEN AND TOUBRO LIMITED
LAULAB,LAURUS LABS LIMITED
LICHF,LIC HOUSING FINANCE LIMITED
LTFINA,LT FINANCE HOLDINGS LIMITED
LTINFO,LTIMINDTREE LIMITED
LTTEC,L&T TECHNOLOGIES LIMITED
LUPIN,LUPIN LIMITED
MAHFIN,MAHINDRA & MAHINDRA FINANCIAL
MAHGAS,MAHANAGAR GAS LIMITED
MAHMAH,MAHINDRA & MAHINDRA LIMITED
MANAFI,MANAPPURAM FINANCE LIMITED
MARLIM,MARICO LIMITED
MARUTI,MARUTI SUZUKI INDIA LTD
MAXFIN,MAX FINANCIAL SERVICES LIMITED
MCX,MULTI COMMODITY EXCHANGE
METHEA,METROPOLIS HEALTHCARE LIMITED
MOTSUM,MOTHERSON,SAMVARDHANA MOTHERSON INT LTD
MPHLIM,MPHASIS LIMITED
MRFTYR,MRF LTD
MUTFIN,MUTHOOT FINANCE LIMITED
NATALU,NATMIN,NATIONALUM,NATIONAL ALUMINIUM CO LTD
NATMIN,NMDC LIMITED
NAVFLU,NAVIN FLUORINE INTERNATIONAL L
NESIND,NESTLE INDIA LIMITED
NIFFIN,NIFTY FINANCIAL SERVICES INDEX
NIFSEL,NIFTY MIDCAP SELECT
NIFTY,NIFTY 50
NIITEC,COFORGE LIMITED
NTPC,NTPC LIMITED
OBEREA,OBEROI REALTY LIMITED
ODICEM,DALMIA BHARAT LIMITED
ONGC,OIL AND NATURAL GAS CORPORATIO
ORAFIN,OFSS,ORACLE FINANCIAL SERVICES SOFT
PAGIND,PAGE INDUSTRIES LTD
PERSYS,PERSISTENT,PERSISTENT SYSTEMS LIMITED
PETLNG,PETRONET LNG LIMITED
PIDIND,PIDILITE INDUSTRIES LTD
PIIND,P I INDUSTRIES LTD
PIRENT,PIRAMAL ENTERPRISES LIMITED
POLI,POLYCAB INDIA LIMITED
POWFIN,POWER FINANCE CORPORATION LTD
POWGRI,POWER GRID CORPORATION OF INDI
PUNBAN,PUNJAB NATIONAL BANK
PVRLIM,PVR INOX LIMITED
RAMCEM,THE RAMCO CEMENTS LIMITED
RBLBAN,RBL BANK LIMITED
RELIND,RELIANCE INDUSTRIES
RURELE,REC LIMITED
SAIL,STEEL AUTHORITY OF INDIA LTD
SBICAR,SBI CARDS AND PAYMENT SERV LTD
SBILIF,SBI LIFE INSURANCE COMPANY LTD
SHRCEM,SHREE CEMENTS LTD
SHRTRA,SHRIRAM FINANCE LIMITED
SIEMEN,SIEMENS LTD
SRF,SRF LIMITED
STABAN,STATE BANK OF INDIA
SUNPHA,SUN PHARMACEUTICAL INDUSTRIES
SUNTV,SUN TV NETWORK LIMITED
SYNINT,SYNGENE INTERNATIONAL LTD
TATCHE,TATA CHEMICALS LTD
TATCOM,TATA COMMUNICATIONS LIMITED
TATGLO,TATA CONSUMER PRODUCTS LIMITED
TATMOT,TATA MOTORS LIMITED
TATPOW,TATA POWER CO LTD
TATSTE,TATA STEEL LIMITED
TCS,TATA CONSULTANCY SERVICES LTD
TECMAH,TECH MAHINDRA LIMITED
TITIND,TITAN COMPANY LIMITED
